Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
(2S)-2-[[(2S)-2-azaniumyl-3-phenylpropanoyl]amino]-3-phenylpropanoate,M1_vs_PA14,-1.18088373155594,0.146099220667978,-8.08275175019303,5,0.000469673968447104,0.00107836227834688,,0,0
(2S)-2-[[(2S)-2-azaniumyl-4-methylpentanoyl]amino]-3-phenylpropanoate,M1_vs_PA14,-1.12056521740227,0.0290023011814112,-38.6371140135767,5,2.18861059719799e-07,2.62772673612625e-06,,0,0
1-(isoquinolin-1-yl)cyclopropane-1-carboxylic acid,M1_vs_PA14,0.215723441232625,0.0152312166907122,14.1632441854871,5,3.15914149648933e-05,0.000105584782285149,,0,0
1103336-91-9,M1_vs_PA14,0.29022605767552,0.0183287109373434,15.8345046014232,5,1.82767930270167e-05,6.76851765342366e-05,,0,0
14705-60-3,M1_vs_PA14,0.123683287910055,0.0419301881992021,2.94974320941417,5,0.0318948651930595,0.0471543693246409,,0,0
2-(5-methyl-1H-pyrazol-1-yl)propanoic acid,M1_vs_PA14,1.29620904556055,0.0454368556041306,28.5277013192504,5,9.91446542641938e-07,6.74684741111933e-06,,0,0
2-heptylquinolin-4(1H)-one,M1_vs_PA14,-1.7150682256616,0.21784270906258,-7.8729659259283,5,0.000531283313542241,0.00120368875724414,,0,0
2-Nonylquinolin-4(1h)-One,M1_vs_PA14,-3.65327716069814,0.17296582128874,-21.121381863065,5,4.40877520935246e-06,2.12545812522491e-05,,0,0
2-Pentyl-1H-quinolin-4-one,M1_vs_PA14,-0.84528232620635,0.112777110911726,-7.49515854212634,5,0.000668256357600372,0.00147329033225345,,0,0
2'-Aminoacetophenone,M1_vs_PA14,1.37542309134924,0.0572473144102815,24.0259845464858,5,2.32739756800271e-06,1.31894981689571e-05,,0,0
3-Acetamidophenol,M1_vs_PA14,4.29849973415301,0.0351470347994133,122.300494442415,5,6.93189061706789e-10,1.40985756402756e-07,,0,0
3-phenyl-2-[(pyridin-3-yl)formamido]propanoic acid,M1_vs_PA14,0.269827956821194,0.0412355951766881,6.54356886726196,5,0.00124815203594908,0.00256852247572491,,0,0
AKOS011963716,M1_vs_PA14,-0.478044553848572,0.113143320504422,-4.22512395532788,5,0.00828693958078253,0.0142266676773908,,0,0
AKOS016387022,M1_vs_PA14,-3.24410877003438,0.138832945549497,-23.3669951839911,5,2.67180689017543e-06,1.45559421617939e-05,,0,0
Ala-phe,M1_vs_PA14,-4.18501154087428,0.0492289191587406,-85.0112416114507,5,4.26853086210599e-09,4.47010037503877e-07,,0,0
Benzododecinium,M1_vs_PA14,1.88449732437776,0.665563970098395,2.83142929762133,5,0.036613169830235,0.0531299654580392,,0,0
BET-IN-1,M1_vs_PA14,1.31205074794343,0.129256392488161,10.1507610005718,5,0.000159103397604721,0.000419454411866991,,0,0
cetrimonium,M1_vs_PA14,0.100083852905068,0.0885572669084264,1.13015968535434,5,0.309689775292058,0.351031404946199,,0,0
CID 6993119,M1_vs_PA14,-2.49118038173656,0.0418945349364344,-59.4631348818258,5,2.54536323129884e-08,9.61484000434261e-07,,0,0
Cyclo-Ile-Pro-diketopiperazine,M1_vs_PA14,0.0955461855057725,0.0320052515711818,2.98532837004176,5,0.0306114868933012,0.0454351596802147,,0,0
Cyclo(his-pro),M1_vs_PA14,0.674821765798337,0.0233600852522471,28.8878126304536,5,9.3147400193061e-07,6.60085899864361e-06,,0,0
Cyclo(Tyr-Leu),M1_vs_PA14,0.0999739536883055,0.0576244552940825,1.73492232036026,5,0.143279551550854,0.178154323663166,,0,0
Dihydroaeruginoic acid,M1_vs_PA14,3.65064773332069,0.0697408402810589,52.3459097798136,5,4.81053552547905e-08,1.19034615366574e-06,,0,0
diprotin A,M1_vs_PA14,-0.06727816456575,0.0394538765812182,-1.70523584487962,5,0.148868555410736,0.18461659667713,,0,0
Glycyl-L-leucine,M1_vs_PA14,-4.43122450201096,0.14220446642269,-31.1609375815212,5,6.38956185738948e-07,4.99764485526107e-06,,0,0
H-gamma-glu-phe-oh,M1_vs_PA14,-2.58694885308984,0.0346076106187456,-74.7508656864219,5,8.1169027055239e-09,6.1442565539384e-07,,0,0
HQNO,M1_vs_PA14,0.266579100666808,0.0999610386698175,2.66683003912503,5,0.0445174652278542,0.0629995660319107,,0,0
l-alanyl-l-leucine,M1_vs_PA14,-1.5882826308944,0.109224878997931,-14.5413997750868,5,2.77661174963306e-05,9.48172671749696e-05,,0,0
L-Alloisoleucine,M1_vs_PA14,-3.79798205129088,0.0175326177438212,-216.623786977238,5,3.97808452845538e-11,5.68208091689115e-08,,0,0
L-arginine,M1_vs_PA14,0.19611790498701,0.0970827717018769,2.02011027856983,5,0.0993563098829096,0.128630936901981,,0,0
L-Leucyl-L-alanine,M1_vs_PA14,-0.18836690147153,0.193137675063248,-0.975298586409122,5,0.374204666106239,0.417135301957576,,0,0
L-methionine,M1_vs_PA14,-2.03199382318956,0.0395550960032599,-51.3712271870633,5,5.28375352359944e-08,1.24498442399812e-06,,0,0
L-phenylalanine,M1_vs_PA14,-4.1474085488916,0.222024609412162,-18.6799497581479,5,8.09434835913336e-06,3.41338851386273e-05,,0,0
L-Pyroglutamic acid,M1_vs_PA14,-4.84738990445273,0.290888613113778,-16.6640758212035,5,1.42162642879917e-05,5.48009369792728e-05,,0,0
L-tryptophan,M1_vs_PA14,2.02816882176998,0.0678818690780375,29.877916582385,5,7.87687370218393e-07,5.75062968087929e-06,,0,0
L-tyrosine,M1_vs_PA14,-2.12555702654781,0.103390413769867,-20.5585503437389,5,5.0395831752148e-06,2.34558377414319e-05,,0,0
L-Val-L-Ala,M1_vs_PA14,-0.6617051111417,0.243155083849873,-2.72132953448855,5,0.0417088076445098,0.0596971164843591,,0,0
methyl 2-[(pyrrolidin-2-yl)formamido]butanoate hydrochloride,M1_vs_PA14,-2.33945006925546,0.0515869465757631,-45.349651889546,5,9.84405823523105e-08,1.79303154157484e-06,,0,0
N-Acetyl-DL-methionine,M1_vs_PA14,2.1295621519727,0.0165093517655868,128.991263994489,5,5.31156896244056e-10,1.25153843677506e-07,,0,0
nicotinic acid,M1_vs_PA14,0.423973883173266,0.0376140107686597,11.2717010100535,5,9.60312428732735e-05,0.000269774803004651,,0,0
octopamine,M1_vs_PA14,-2.99837622058394,0.0549854917283007,-54.5303156585338,5,3.92238508339915e-08,1.07155012785614e-06,,0,0
Oleamide,M1_vs_PA14,0.555668395711015,0.164063006338366,3.38692072096373,5,0.0195265818141697,0.0303693124750081,,0,0
pantothenic acid,M1_vs_PA14,-1.14745466433813,0.0381718160417632,-30.060258675739,5,7.64195672298129e-07,5.62698766516396e-06,,0,0
Phe-ala,M1_vs_PA14,-1.72574801580392,0.0233851278633422,-73.7968176136914,5,8.6548919142615e-09,6.1442565539384e-07,,0,0
Polidocanol,M1_vs_PA14,-0.267578759231152,0.113671655842747,-2.35396200791972,5,0.0652382765177613,0.0887259388426984,,0,0
TRIBUTYL PHOSPHATE,M1_vs_PA14,-0.0458632707970992,0.0908651477767996,-0.504739957169908,5,0.635194450206758,0.668905887508234,,0,0
Trospium,M1_vs_PA14,1.38982839940951,0.124905744481921,11.1270174576373,5,0.000102221670718716,0.00028504119719642,,0,0
Val-Tyr,M1_vs_PA14,-0.593778662093816,0.61995827401643,-0.957771977534862,5,0.38216422091633,0.425504758669393,,0,0
